image_path,component,layer_idx,layer_name,height,width,pha_topk,pha_sim
0001_c5_f0051847.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.15766644477844238
0001_c5_f0051847.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.16116750240325928
0001_c5_f0051847.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.1758037507534027
0001_c5_f0051847.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.19280242919921875
0001_c5_f0051847.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.27671781182289124
0001_c5_f0051847.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.3634029030799866
0001_c5_f0051847.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.4287395477294922
0001_c5_f0051847.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.4447729289531708
0001_c5_f0051847.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.26113012433052063
0001_c5_f0051847.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.3740479648113251
0001_c5_f0051847.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.40613070130348206
0001_c5_f0051847.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.409053772687912
0001_c6_f0030329.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.19563454389572144
0001_c6_f0030329.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.2025584578514099
0001_c6_f0030329.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.21872103214263916
0001_c6_f0030329.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.2319103628396988
0001_c6_f0030329.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.31787794828414917
0001_c6_f0030329.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.40458914637565613
0001_c6_f0030329.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.472210556268692
0001_c6_f0030329.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.49208515882492065
0001_c6_f0030329.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.3473900258541107
0001_c6_f0030329.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.4701121151447296
0001_c6_f0030329.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.49898919463157654
0001_c6_f0030329.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.5025389194488525
0001_c6_f0030449.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.14280952513217926
0001_c6_f0030449.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.15105658769607544
0001_c6_f0030449.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.17537552118301392
0001_c6_f0030449.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.20131492614746094
0001_c6_f0030449.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.28942742943763733
0001_c6_f0030449.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.3796639144420624
0001_c6_f0030449.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.4533267915248871
0001_c6_f0030449.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.47628340125083923
0001_c6_f0030449.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.31073516607284546
0001_c6_f0030449.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.4321984052658081
0001_c6_f0030449.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.4590187072753906
0001_c6_f0030449.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.4593556523323059
0001_c6_f0030569.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.1523064821958542
0001_c6_f0030569.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.1766771823167801
0001_c6_f0030569.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.2215937077999115
0001_c6_f0030569.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.24999508261680603
0001_c6_f0030569.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.3421763479709625
0001_c6_f0030569.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.4196292459964752
0001_c6_f0030569.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.47962406277656555
0001_c6_f0030569.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.5019291639328003
0001_c6_f0030569.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.3024026155471802
0001_c6_f0030569.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.432172030210495
0001_c6_f0030569.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.4630529582500458
0001_c6_f0030569.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.466472864151001
0001_c6_f0030689.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.16248002648353577
0001_c6_f0030689.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.1782192438840866
0001_c6_f0030689.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.19916947185993195
0001_c6_f0030689.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.21262231469154358
0001_c6_f0030689.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.27309924364089966
0001_c6_f0030689.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.34563732147216797
0001_c6_f0030689.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.405093789100647
0001_c6_f0030689.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.4222029149532318
0001_c6_f0030689.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.25289589166641235
0001_c6_f0030689.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.3447752296924591
0001_c6_f0030689.jpg,RGB,10,base.levels.3.blocks.2,16,8,13,0.36793214082717896
0001_c6_f0030689.jpg,RGB,11,base.levels.3.blocks.3,16,8,13,0.3697250187397003
0001_c6_f0030809.jpg,RGB,0,base.levels.2.blocks.0,16,8,13,0.15660978853702545
0001_c6_f0030809.jpg,RGB,1,base.levels.2.blocks.1,16,8,13,0.17003102600574493
0001_c6_f0030809.jpg,RGB,2,base.levels.2.blocks.2,16,8,13,0.19628216326236725
0001_c6_f0030809.jpg,RGB,3,base.levels.2.blocks.3,16,8,13,0.21957501769065857
0001_c6_f0030809.jpg,RGB,4,base.levels.2.blocks.4,16,8,13,0.2953302264213562
0001_c6_f0030809.jpg,RGB,5,base.levels.2.blocks.5,16,8,13,0.36618345975875854
0001_c6_f0030809.jpg,RGB,6,base.levels.2.blocks.6,16,8,13,0.42077964544296265
0001_c6_f0030809.jpg,RGB,7,base.levels.2.blocks.7,16,8,13,0.4351711869239807
0001_c6_f0030809.jpg,RGB,8,base.levels.3.blocks.0,16,8,13,0.2380751371383667
0001_c6_f0030809.jpg,RGB,9,base.levels.3.blocks.1,16,8,13,0.3388172686100006
